iter	Passed	Remaining
0	0	82
1	1	87
2	3	107
3	4	113
4	6	122
5	7	123
6	9	124
7	10	121
8	11	120
9	13	118
10	14	114
11	15	113
12	16	112
13	18	112
14	19	111
15	21	110
16	22	107
17	23	105
18	24	103
19	25	100
20	26	98
21	27	96
22	28	94
23	29	92
24	30	90
25	31	88
26	31	86
27	32	84
28	33	82
29	34	80
30	35	78
31	35	76
32	36	74
33	37	72
34	38	71
35	39	69
36	40	68
37	40	66
38	41	65
39	42	63
40	42	61
41	43	60
42	44	58
43	45	57
44	45	56
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	60	28
68	61	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
